назва,ціна,наявність,рейтинг
A Light in the Attic,51.77,True,Three
Tipping the Velvet,53.74,True,One
Soumission,50.10,True,One
Sharp Objects,47.82,True,Four
Sapiens: A Brief History of Humankind,54.23,True,Five
The Requiem Red,22.65,True,One
The Dirty Little Secrets of Getting Your Dream Job,33.34,True,Four
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,True,Three
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.60,True,Four
The Black Maria,52.15,True,One
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,True,Two
Shakespeare's Sonnets,20.66,True,Four
Set Me Free,17.46,True,Five
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,True,Five
Rip it Up and Start Again,35.02,True,Five
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,True,Three
Olio,23.88,True,One
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,True,One
Libertarianism for Beginners,51.33,True,Two
It's Only the Himalayas,45.17,True,Two
In Her Wake,12.84,True,One
How Music Works,37.32,True,Two
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,True,Three
Chase Me (Paris Nights #2),25.27,True,Five
Black Dust,34.53,True,Five
Birdsong: A Story in Pictures,54.64,True,Three
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.50,True,Three
Aladdin and His Wonderful Lamp,53.13,True,Three
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,40.30,True,Five
Wall and Piece,44.18,True,Four
The Four Agreements: A Practical Guide to Personal Freedom,17.66,True,Five
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,True,Three
The Elephant Tree,23.82,True,Five
The Bear and the Piano,36.89,True,One
Sophie's World,15.94,True,Five
Penny Maybe,33.29,True,Three
Maude (1883-1993):She Grew Up with the country,18.02,True,Two
"In a Dark, Dark Wood",19.63,True,One
Behind Closed Doors,52.22,True,Four
You can't bury them all: Poems,33.63,True,Two
Slow States of Collapse: Poems,57.31,True,Three
Reasons to Stay Alive,26.41,True,Two
Private Paris (Private #10),47.61,True,Five
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,True,Five
Without Borders (Wanderlove #1),45.07,True,Two
When We Collided,31.77,True,One
"We Love You, Charlie Freeman",50.27,True,Five
Untitled Collection: Sabbath Poems 2014,14.27,True,Four
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,True,Four
Unicorn Tracks,18.78,True,Three
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,True,One
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,True,One
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,True,Three
This One Summer,19.49,True,Four
Thirst,17.27,True,Five
The Torch Is Passed: A Harding Family Story,19.09,True,One
The Secret of Dreadwillow Carse,56.13,True,One
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,True,One
The Past Never Ends,56.50,True,Four
The Natural History of Us (The Fine Art of Pretending #2),45.22,True,Three
