title,link,date,summary
У Тернополі військові з 3-ї штурмової бригади викрадають людей та машини - активіст,https://ctrana.one/ukr/news/493171-3-ja-shturmova-brihada-tvorit-bezzakonnja-u-ternopoli.html,2025-10-15,У Тернополі військові з 3-ї штурмової бригади викрадають людей та машини - активіст
Путін зустрівся у Москві з президентом Сирії,https://ctrana.one/ukr/news/493170-putin-proviv-perehovori-z-akhmedom-sharaa.html,2025-10-15,Путін зустрівся у Москві з президентом Сирії
"Фон дер Ляйєн заявила, що Сербія не вступить до ЄС без введення санкцій проти Росії",https://ctrana.one/ukr/news/493169-brjussel-postaviv-serbiji-umovu-prijnjattja-do-jes.html,2025-10-15,"Фон дер Ляйєн заявила, що Сербія не вступить до ЄС без введення санкцій проти Росії"
"Пакистан завдав ударів по столиці Афганістану, на кордоні країн точаться бої",https://ctrana.one/ukr/news/493168-vps-pakistanu-vdarili-po-kabulu.html,2025-10-15,"Пакистан завдав ударів по столиці Афганістану, на кордоні країн точаться бої"
"У блогера Ксюші Манекен аферисти забрали з рахунку в ""Монобанку"" понад 6 мільйонів гривень",https://ctrana.one/ukr/news/493166-ksjusha-maneken-rozpovila-jak-u-jiji-fop-viveli-hroshi-shakhraji.html,2025-10-15,"У блогера Ксюші Манекен аферисти забрали з рахунку в ""Монобанку"" понад 6 мільйонів гривень"
"""Одесу чекає чекістське управління"".",https://ctrana.one/ukr/news/493165-jurij-nikolov-ochikuje-vstanovlennja-v-odesi-vladi-sbu.html,2025-10-15,"""Одесу чекає чекістське управління"". Близький до НАБУ журналіст описав перспективи південного міста"
"Розповіді про ефективну роботу створених корпусів ЗСУ – це брехня - екс-начштабу ""Азова""",https://ctrana.one/ukr/news/493164-bohdan-krotevich-rozkritikuvav-korpusnu-sistemu-v-armiji.html,2025-10-15,"Розповіді про ефективну роботу створених корпусів ЗСУ – це брехня - екс-начштабу ""Азова"""
"У Bellingcat обіцяють показати докази підробленості російського паспорта Труханова, опублікованого СБУ",https://ctrana.one/ukr/news/493163-bellingcat-dovede-shcho-pasport-rf-trukhanova-falshivka.html,2025-10-15,"У Bellingcat обіцяють показати докази підробленості російського паспорта Труханова, опублікованого СБУ"
Зеленський призначив Лисака головою новоствореної військової адміністрації Одеси,https://ctrana.one/ukr/news/493161-serhij-lisak-stav-holovoju-odeskoji-ovu.html,2025-10-15,Зеленський призначив Лисака головою новоствореної військової адміністрації Одеси
"Перетворити ""війну Байдена"" на ""війну Трампа"".",https://ctrana.one/ukr/news/493160-navishcho-zelenskij-letit-u-pjatnitsju-v-ssha.html,2025-10-15,"Перетворити ""війну Байдена"" на ""війну Трампа"". Головна мета візиту Зеленського до США"
Позбавлений громадянства Труханов вважає себе чинним мером Одеси,https://ctrana.one/ukr/news/493159-trukhanov-rozpoviv-doki-zalishitsja-merom-odesi.html,2025-10-15,Позбавлений громадянства Труханов вважає себе чинним мером Одеси
"Військові США вважають, що постачання ""Томагавків"" в Україну поставлять їхню країну на межу війни з Росією",https://ctrana.one/ukr/news/493158-pro-riziki-peredachi-tomahavkiv-poperedzhajut-vijskovi-ssha.html,2025-10-15,"Військові США вважають, що постачання ""Томагавків"" в Україну поставлять їхню країну на межу війни з Росією"
У Мережі показали неймовірно брудний розподільчий центр ТЦК у Києві.,https://ctrana.one/ukr/news/493157-foto-zhakhlivoji-antisanitariji-rozpodilchoho-tsentru-na-dvrz.html,2025-10-15,У Мережі показали неймовірно брудний розподільчий центр ТЦК у Києві. Військкоми обурилися публікацією фото
Сікорський повідомив про плани Києва воювати з Росією ще три роки,https://ctrana.one/ukr/news/493155-sikorskij-nazvav-skilki-ukrajina-maje-namir-vojuvati-z-rf.html,2025-10-15,Сікорський повідомив про плани Києва воювати з Росією ще три роки
У ФРН у 10 разів побільшало молодих чоловіків з України,https://ctrana.one/ukr/news/493154-u-nimechchini-v-razi-pobilshalo-molodikh-ukrajinskikh-cholovikiv.html,2025-10-15,У ФРН у 10 разів побільшало молодих чоловіків з України
"Премія для ""відьми"".",https://ctrana.one/ukr/news/493151-shcho-oznachaje-vruchennja-nobelivskoji-premiji-venesuelskij-opozitsionertsi-mariji-machado.html,2025-10-15,"Премія для ""відьми"". Що означає вручення ""нобелівки"" Марії Мачадо і чи розпочне Трамп війну з Венесуелою"
Латвія хоче скоротити допомогу українським біженцям Що зміниться,https://ctrana.one/ukr/news/493150-vlada-latviji-skorotit-dopomohu-bizhentsjam-z-ukrajini.html,2025-10-15,Латвія хоче скоротити допомогу українським біженцям Що зміниться
Армія РФ захопила три селища на Донеччині.,https://ctrana.one/ukr/news/493149-rf-zakhopila-perebudovu-mirne-ta-komar-u-donetskij-oblasti.html,2025-10-15,Армія РФ захопила три селища на Донеччині. Карта
1330-й день війни в Україні.,https://ctrana.one/ukr/news/493143-vijna-v-ukrajini-15-zhovtnja-2025-roku-novini-onlajn.html,2025-10-15,1330-й день війни в Україні. Що відбувається 15 жовтня. Оновлюється
Трамп заявив про готовність зупинити торгівлю із Китаєм.,https://ctrana.one/ukr/news/493144-zajava-trampa-pro-pripinennja-torhivli-z-kitajem-obvalila-fondovij-rinok-ssha.html,2025-10-15,Трамп заявив про готовність зупинити торгівлю із Китаєм. Фондовий ринок США впав на $450 млрд
"""Неповагу до НАТО"".",https://ctrana.one/ukr/news/493141-tramp-ne-vikljuchiv-vvedennja-mit-proti-ispaniji-za-vidmovu-pidnjati-vitrati-na-oboronu.html,2025-10-14,"""Неповагу до НАТО"". Трамп пригрозив Іспанії митом за відмову підвищити витрати на оборону"
"""Вони знають, що я не граю в ігри"".",https://ctrana.one/ukr/news/493142-ssha-zastosujut-silu-jakshcho-khamas-ne-sklade-zbroju-video-intervju-trampa.html,2025-10-14,"""Вони знають, що я не граю в ігри"". Трамп заявив, що США самі роззброїть ХАМАС у разі відмови. Відео"
На півночі Італії троє боржників під час виселення підірвали у фермерському будинку газ.,https://ctrana.one/ukr/news/493138-v-italiji-borzhniki-shcho-protistojat-viselennju-pidirvali-na-fermi-haz.html,2025-10-14,На півночі Італії троє боржників під час виселення підірвали у фермерському будинку газ. Є загиблі та поранені
США та Китай погодили зустріч Трампа та Сі Цзіньпіна,https://ctrana.one/ukr/news/493139-tramp-i-si-tszinpin-zustrinutsja-na-samiti-u-pivdennij-koreji.html,2025-10-14,США та Китай погодили зустріч Трампа та Сі Цзіньпіна
1329 день війни в Україні.,https://ctrana.one/ukr/news/493086-vijna-v-ukrajini-14-zhovtnja-2025-roku-novini-onlajn.html,2025-10-14,1329 день війни в Україні. Що відбувається 14 жовтня. Оновлюється
"Трамп знає, що Зеленський у Вашингтоні попросить ракети ""Томагавк"".",https://ctrana.one/ukr/news/493137-tramp-ne-ozvuchiv-shcho-vidpovist-zelenskomu-u-ssha-na-prokhannja-pro-postachannja-raket-tomahavk.html,2025-10-14,"Трамп знає, що Зеленський у Вашингтоні попросить ракети ""Томагавк"". Повний текст виступу президента США"
На Харківщині розширено зону обов'язкової евакуації сімей з дітьми,https://ctrana.one/ukr/news/493136-sinehubov-povidomiv-pro-obovjazkovu-evakuatsiju-u-kharkivskij-oblasti.html,2025-10-14,На Харківщині розширено зону обов'язкової евакуації сімей з дітьми
Сім країн НАТО оголосять про закупівлю американської зброї для України,https://ctrana.one/ukr/news/493135-sim-krajin-nato-oholosjat-pro-zakupivlju-u-ssha-zbroji-dlja-ukrajini.html,2025-10-14,Сім країн НАТО оголосять про закупівлю американської зброї для України
У Німеччині зірвалася коаліційна угода про введення військового обов'язку,https://ctrana.one/ukr/news/493132-parlament-nimechchini-ne-zmih-rozhljanuti-popravki-shchodo-vvedennja-obovjazkovoji-vijskovoji-sluzhbi.html,2025-10-14,У Німеччині зірвалася коаліційна угода про введення військового обов'язку
Трамп заявив про удар по судну неподалік Венесуели.,https://ctrana.one/ukr/news/493039-tramp-zajaviv-pro-znishchennja-sudna-narkoteroristiv-venesueli-video-udaru.html,2025-10-14,Трамп заявив про удар по судну неподалік Венесуели. Відео
У ДТЕК назвали причину раптового блекауту в центрі Києва та терміни увімкнення світла,https://ctrana.one/ukr/news/493133-chomu-u-tsentri-kijeva-vidbuvsja-blekaut.html,2025-10-14,У ДТЕК назвали причину раптового блекауту в центрі Києва та терміни увімкнення світла
Блекаут і колапс у метро.,https://ctrana.one/ukr/news/493131-video-blekautu-v-metro-kijeva-ta-foto-kolapsu-na-stantsiji-metropolitenu.html,2025-10-14,Блекаут і колапс у метро. У центрі Києва раптово зникла електрика. Відео
"Експерт із зв'язку заявив про зниження ефективності коштів РЕБ проти нових російських безпілотників ""Ланцет""",https://ctrana.one/ukr/news/493130-koshti-reb-znizili-efektivnist-proti-lantsetiv.html,2025-10-14,"Експерт із зв'язку заявив про зниження ефективності коштів РЕБ проти нових російських безпілотників ""Ланцет"""
Зеленський пообіцяв призначити голову Одеської військової адміністрації вже найближчим часом.,https://ctrana.one/ukr/news/493129-vechirnje-zvernennja-volodimira-zelenskoho-14-zhovtnja-2025-roku.html,2025-10-14,Зеленський пообіцяв призначити голову Одеської військової адміністрації вже найближчим часом. Вечірнє звернення
Прокурори домоглися звільнення з ЗСУ мобілізованого мешканця Львівщини.,https://ctrana.one/ukr/news/493127-mobilizovanoho-meshkantsja-lvivshchini-u-jakoho-zalishivsja-batko-invalid-zvilnili-iz-zsu.html,2025-10-14,Прокурори домоглися звільнення з ЗСУ мобілізованого мешканця Львівщини. Він доглядав лежачого батька.
Труханов має намір виконувати обов'язки мера Одеси до припинення своїх повноважень міськрадою,https://ctrana.one/ukr/news/493128-trukhanov-zajaviv-shcho-vikonuvatime-obovjazki-mera-odesi.html,2025-10-14,Труханов має намір виконувати обов'язки мера Одеси до припинення своїх повноважень міськрадою
Зеленський змінив першого заступника секретаря РНБО.,https://ctrana.one/ukr/news/493125-zelenskij-priznachiv-novoho-zastupnika-sekretarja-rnbo.html,2025-10-14,Зеленський змінив першого заступника секретаря РНБО. Укази
"Одеса без Труханова, скільки ""Томагавків"" можуть дати США, чому у Києві знову говорять про кінець війни.",https://ctrana.one/ukr/news/493119-pidsumki-1329-roku-dnja-vijni-v-ukrajini.html,2025-10-14,"Одеса без Труханова, скільки ""Томагавків"" можуть дати США, чому у Києві знову говорять про кінець війни. Підсумки"
Приручення місцевого самоврядування.,https://ctrana.one/ukr/news/493123-chomu-zelenskij-usuvaje-trukhanova-z-krisla-mera.html,2025-10-14,Приручення місцевого самоврядування. Що означає рішення Зеленського щодо позбавлення мера Одеси Труханова громадянства
"""Чекання висить у повітрі"".",https://ctrana.one/ukr/news/493122-buzhanskij-zajaviv-pro-svoji-spodivannja-shchodo-zupinki-bojiv.html,2025-10-14,"""Чекання висить у повітрі"". Нардеп Бужанський сподівається на зупинку вогню до кінця листопада"
Труханов має намір оскаржити позбавлення громадянства і залишитися в Україні попри указ президента,https://ctrana.one/ukr/news/493117-trukhanov-maje-namir-oskarzhiti-pozbavlennja-hromadjanstva-cherez-sud.html,2025-10-14,Труханов має намір оскаржити позбавлення громадянства і залишитися в Україні попри указ президента
Саркозі вирушить у в'язницю і стане першим лідером Західної Європи в ув'язненні за післявоєнний період,https://ctrana.one/ukr/news/493116-stalo-vidomo-v-jakij-vjaznitsi-sarkozi-vidbuvatime-termin.html,2025-10-14,Саркозі вирушить у в'язницю і стане першим лідером Західної Європи в ув'язненні за післявоєнний період
"ТЦК залучає до мобілізації військових із бойовим досвідом, щоб ""підвищити довіру громадян""",https://ctrana.one/ukr/news/493114-ttsk-pochali-provoditi-mobilizatsiju-za-uchastju-sluzhbovtsiv-shcho-vojuvali.html,2025-10-14,"ТЦК залучає до мобілізації військових із бойовим досвідом, щоб ""підвищити довіру громадян"""
Зеленський підписав указ щодо позбавлення громадянства Труханова.,https://ctrana.one/ukr/news/493115-zelenskij-pozbaviv-hromadjanstva-trukhanova.html,2025-10-14,Зеленський підписав указ щодо позбавлення громадянства Труханова. Хто тепер керуватиме Одесою?
Китай у 10 разів збільшив постачання компонентів для російських безпілотників - The Washington Post,https://ctrana.one/ukr/news/493112-pidvishchivsja-eksport-komplektujuchikh-dlja-rosijskikh-bpla-z-knr-zmi.html,2025-10-14,Китай у 10 разів збільшив постачання компонентів для російських безпілотників - The Washington Post
Зеленський доручив розглянути створення військової адміністрації Одеси,https://ctrana.one/ukr/news/493113-shcho-vidpoviv-zelenskij-na-petitsiju-pro-utvorennja-ova-v-odesi.html,2025-10-14,Зеленський доручив розглянути створення військової адміністрації Одеси
"Лукашенко попередив, що передача ""Томагавків"" Україні може призвести до ядерної війни",https://ctrana.one/ukr/news/493111-tomahavki-prizvedut-do-eskalatsiji-lukashenko.html,2025-10-14,"Лукашенко попередив, що передача ""Томагавків"" Україні може призвести до ядерної війни"
"""Більше не можемо приймати"".",https://ctrana.one/ukr/news/493110-polshcha-vicherpala-mozhlivosti-prijomu-ukrajinskikh-bizhentsiv-chinovnik.html,2025-10-14,"""Більше не можемо приймати"". У Польщі заявили про вичерпання можливості забезпечувати українських біженців"
"Півтора мільйони чоловіків не оновили дані в ТЦК, а близько 300 тисяч дезертували чи пішли у самоволку",https://ctrana.one/ukr/news/493106-skilki-perebuvajut-u-szch-ta-ne-onovili-dani-u-ttsk-statistika.html,2025-10-14,"Півтора мільйони чоловіків не оновили дані в ТЦК, а близько 300 тисяч дезертували чи пішли у самоволку"
"Торгова війна КНР та США запустить проблеми з виробництвом зброї на Заході, у тому числі ""Томагавків"" - ЗМІ",https://ctrana.one/ukr/news/493109-jak-konflikt-ssha-ta-kitaju-poznachitsja-na-vipusku-zbroji.html,2025-10-14,"Торгова війна КНР та США запустить проблеми з виробництвом зброї на Заході, у тому числі ""Томагавків"" - ЗМІ"
Суд призначив колишньому меру Ірпеня Маркушину заставу у справі про незаконне заволодіння комунальною власністю,https://ctrana.one/ukr/news/493104-kolishnomu-meru-irpenja-markushinu-priznachili-zastavu-300-tis-hrn.html,2025-10-14,Суд призначив колишньому меру Ірпеня Маркушину заставу у справі про незаконне заволодіння комунальною власністю
Петиція про позбавлення Труханова громадянства України набрала необхідні 25 тисяч підписів менш як за добу,https://ctrana.one/ukr/news/493102-petitsija-pro-pozbavlennja-mera-odesi-trukhanova-hromadjanstva-ukrajini-zibrala-potribni-pidpisi.html,2025-10-14,Петиція про позбавлення Труханова громадянства України набрала необхідні 25 тисяч підписів менш як за добу
"Штати можуть передати Україні лише кілька ракет ""Томагавк"", які не вплинуть на війну - FT",https://ctrana.one/ukr/news/493101-ssha-mozhut-peredati-ukrajini-lishe-kilka-raket-tomahawk.html,2025-10-14,"Штати можуть передати Україні лише кілька ракет ""Томагавк"", які не вплинуть на війну - FT"
"Росія скоротить військовий бюджет, але збільшить фінансування силових структур у 2026 році - ЗМІ",https://ctrana.one/ukr/news/493099-u-2026-rotsi-rosija-znizit-vitrati-na-armiju-posilivshi-finansuvannja-silovikh-struktur.html,2025-10-14,"Росія скоротить військовий бюджет, але збільшить фінансування силових структур у 2026 році - ЗМІ"
Немає конкретики у головних питаннях.,https://ctrana.one/ukr/news/493096-bilij-dim-opublikuvav-tekst-deklaratsiji-pro-pripinennja-vohnju-u-hazi.html,2025-10-14,Немає конкретики у головних питаннях. Білий дім оприлюднив підписану в Єгипті декларацію про мир у Газі
Вчені заявили про ризик катастрофічних землетрусів у Північній Америці - NYT,https://ctrana.one/ukr/news/493094-vcheni-poperedili-pro-rizik-lantsjuha-rujnivnikh-zemletrusiv-u-pivnichnij-ameritsi-nyt.html,2025-10-14,Вчені заявили про ризик катастрофічних землетрусів у Північній Америці - NYT
Макрон відмовився йти у відставку і назвав винних у політичній кризі у Франції,https://ctrana.one/ukr/news/493090-makron-zajaviv-shcho-ne-pide-u-vidstavku.html,2025-10-14,Макрон відмовився йти у відставку і назвав винних у політичній кризі у Франції
Трамп підтвердив плани зустрічі із Зеленським у Білому домі,https://ctrana.one/ukr/news/493092-tramp-pidtverdiv-shcho-zustrinetsja-iz-zelenskim-17-zhovtnja.html,2025-10-14,Трамп підтвердив плани зустрічі із Зеленським у Білому домі
Перемога над збірною Азербайджану зберегла команді України друге місце у групі відбору на ЧС-2026,https://ctrana.one/ukr/news/493085-zbirna-ukrajini-peremohla-komandu-azerbajdzhanu-u-vidbori-do-chs-2026.html,2025-10-14,Перемога над збірною Азербайджану зберегла команді України друге місце у групі відбору на ЧС-2026
"Покров Пресвятої Богородиці: суть свята, молитва, прикмети та заборони, значення в Україні",https://ctrana.one/ukr/news/493074-pokrov-presvjatoji-bohoroditsi-u-2025-rotsi-v-ukrajini.html,2025-10-14,"Покров Пресвятої Богородиці: суть свята, молитва, прикмети та заборони, значення в Україні"
